EnumType,Code,Description
MessageTypeEnumType,GIR,GIR
MessageTypeIndicEnumType,GIR101,The message contains new information
MessageTypeIndicEnumType,GIR102,The message contains corrections for previously sent information
MessageTypeIndicEnumType,GIR103,The message advises there is no data to report
IdTypeRulesEnumType,GIR201,QIIR applicable to Low-Taxed Constituent Entities located in other jurisdictions only
IdTypeRulesEnumType,GIR202,QIIR applicable to both Low-Taxed Constituent Entities located in other jurisdictions and in the jurisdiction of the Parent Entity
IdTypeRulesEnumType,GIR203,QUTPR
IdTypeRulesEnumType,GIR204,QDMTT
IdTypeRulesEnumType,GIR205,Not applicable
IdTypeGloBeStatusEnumType,GIR301,Constituent Entity
IdTypeGloBeStatusEnumType,GIR302,Flow-Through Entity - Tax Transparent
IdTypeGloBeStatusEnumType,GIR303,Flow-Through Entity - Reverse Hybrid
IdTypeGloBeStatusEnumType,GIR304,Hybrid Entity
IdTypeGloBeStatusEnumType,GIR305,Permanent Establishment
IdTypeGloBeStatusEnumType,GIR306,Main Entity
IdTypeGloBeStatusEnumType,GIR307,Minority-Owned Parent Entity
IdTypeGloBeStatusEnumType,GIR308,Minority-Owned Subsidiary
IdTypeGloBeStatusEnumType,GIR309,Minority-Owned Constituent Entity
IdTypeGloBeStatusEnumType,GIR310,Investment Entity
IdTypeGloBeStatusEnumType,GIR311,Insurance Investment Entity
IdTypeGloBeStatusEnumType,GIR312,Securitisation Entity
IdTypeGloBeStatusEnumType,GIR313,JV
IdTypeGloBeStatusEnumType,GIR314,JV Subsidiary
IdTypeGloBeStatusEnumType,GIR315,Non-Material Constituent Entity
IdTypeGloBeStatusEnumType,GIR316,Excluded Entity
IdTypeGloBeStatusEnumType,GIR317,Parent Entity required to apply a QIIR under Article 10.3.5
IdTypeGloBeStatusEnumType,GIR318,Non-group Member
FilingCeRoleEnumType,GIR401,Ultimate Parent Entity
FilingCeRoleEnumType,GIR402,Designated Filing Entity
FilingCeRoleEnumType,GIR403,Designated Local Entity
FilingCeRoleEnumType,GIR404,Constituent Entity
FilingCeRoleEnumType,GIR405,Other
FilingCeCofUpeEnumType,GIR501,Subparagraph a
FilingCeCofUpeEnumType,GIR502,Subparagraph b
FilingCeCofUpeEnumType,GIR503,Subparagraph c
FilingCeCofUpeEnumType,GIR504,Subparagraph d
ExcludedUpeEnumType,GIR601,Governmental Entity
ExcludedUpeEnumType,GIR602,International Organisation
ExcludedUpeEnumType,GIR603,Non-profit Organisation
ExcludedUpeEnumType,GIR604,Pension Fund
ExcludedUpeEnumType,GIR605,Investment Fund that is an UPE
ExcludedUpeEnumType,GIR606,Real Estate Investment Vehicle that is an UPE
IdGlobeStatusEnumType,GIR701,Constituent Entity
