file,line,lhs_chain,snippet
EntityGroupMap.cs,60,<init>.EntityTin,"EntityTin = tin,"
EntityGroupMap.cs,61,<init>.Country,"Country = countryCode,"
EntityGroupMap.cs,62,<init>.SubGroupTypesRaw,"SubGroupTypesRaw = sgType,"
EntityGroupMap.cs,63,<init>.SubGroupTin,"SubGroupTin = string.IsNullOrEmpty(sgTin) ? null : sgTin,"
MappingBase.cs,136,tin.TypeOfTin,tin.TypeOfTin = tinType;
MappingBase.cs,137,tin.TypeOfTinSpecified,tin.TypeOfTinSpecified = true;
MappingBase.cs,146,tin.IssuedBy,tin.IssuedBy = country;
MappingBase.cs,147,tin.IssuedBySpecified,tin.IssuedBySpecified = true;
MappingBase.cs,27,<init>.PropertyNameCaseInsensitive,new JsonSerializerOptions { PropertyNameCaseInsensitive = true }
MappingBase.cs,107,<init>.Value,"Value = ""NOTIN"","
MappingBase.cs,108,<init>.Unknown,"Unknown = true,"
MappingBase.cs,109,<init>.UnknownSpecified,"UnknownSpecified = true,"
MappingBase.cs,110,<init>.TypeOfTin,"TypeOfTin = Globe.TinEnumType.Gir3004,"
MappingBase.cs,111,<init>.TypeOfTinSpecified,"TypeOfTinSpecified = true,"
MappingBase.cs,128,<init>.Value,var tin = new Globe.TinType { Value = parts[0] };
MappingOrchestrator.cs,59,spec.TransmittingCountry,spec.TransmittingCountry = fi.FilingCe.ResCountryCode;
MappingOrchestrator.cs,61,spec.SendingEntityIn,spec.SendingEntityIn = fi.FilingCe.Tin.Value;
MappingOrchestrator.cs,64,spec.ReceivingCountry,spec.ReceivingCountry = spec.TransmittingCountry;
MappingOrchestrator.cs,65,spec.MessageType,spec.MessageType = Globe.MessageTypeEnumType.Gir;
MappingOrchestrator.cs,68,spec.ReportingPeriod,spec.ReportingPeriod = fi.Period.End;
MappingOrchestrator.cs,70,spec.Timestamp,spec.Timestamp = DateTime.Now;
MappingOrchestrator.cs,77,spec.MessageRefId,"spec.MessageRefId = $""{sendCC}{spec.ReportingPeriod:yyyy}{recvCC}{uid}"";"
MappingOrchestrator.cs,91,globe.GlobeBody.FilingInfo.DocSpec,globe.GlobeBody.FilingInfo.DocSpec = new Globe.DocSpecType
MappingOrchestrator.cs,100,globe.GlobeBody.GeneralSection.DocSpec,globe.GlobeBody.GeneralSection.DocSpec = new Globe.DocSpecType
MappingOrchestrator.cs,110,ua.DocSpec,ua.DocSpec = new Globe.DocSpecType
MappingOrchestrator.cs,120,js.DocSpec,js.DocSpec = new Globe.DocSpecType
MappingOrchestrator.cs,130,sm.DocSpec,sm.DocSpec = new Globe.DocSpecType
MappingOrchestrator.cs,93,<init>.DocTypeIndic,"DocTypeIndic = Globe.OecdDocTypeIndicEnumType.Oecd1,"
MappingOrchestrator.cs,94,<init>.DocRefId,"DocRefId = $""{sendCC}{year}FI{ts}"","
MappingOrchestrator.cs,102,<init>.DocTypeIndic,"DocTypeIndic = Globe.OecdDocTypeIndicEnumType.Oecd1,"
MappingOrchestrator.cs,103,<init>.DocRefId,"DocRefId = $""{sendCC}{year}GS{ts}"","
MappingOrchestrator.cs,112,<init>.DocTypeIndic,"DocTypeIndic = Globe.OecdDocTypeIndicEnumType.Oecd1,"
MappingOrchestrator.cs,113,<init>.DocRefId,"DocRefId = $""{sendCC}{year}UA{utprIdx++}{ts}"","
MappingOrchestrator.cs,122,<init>.DocTypeIndic,"DocTypeIndic = Globe.OecdDocTypeIndicEnumType.Oecd1,"
MappingOrchestrator.cs,123,<init>.DocRefId,"DocRefId = $""{sendCC}{year}JS{jsIdx++}{ts}"","
MappingOrchestrator.cs,132,<init>.DocTypeIndic,"DocTypeIndic = Globe.OecdDocTypeIndicEnumType.Oecd1,"
MappingOrchestrator.cs,133,<init>.DocRefId,"DocRefId = $""{sendCC}{year}SM{sumIdx++}{ts}"","
Mapping_1.1~1.2.cs,18,globe.GlobeBody.FilingInfo,globe.GlobeBody.FilingInfo ??= new Globe.GlobeBodyTypeFilingInfo();
Mapping_1.1~1.2.cs,20,fi.FilingCe,fi.FilingCe ??= new Globe.FilingInfoFilingCe();
Mapping_1.1~1.2.cs,21,fi.AccountingInfo,fi.AccountingInfo ??= new Globe.FilingInfoAccountingInfo();
Mapping_1.1~1.2.cs,22,fi.Period,fi.Period ??= new Globe.FilingInfoPeriod();
Mapping_1.1~1.2.cs,23,globe.GlobeBody.GeneralSection,globe.GlobeBody.GeneralSection ??= new Globe.GlobeBodyTypeGeneralSection();
Mapping_1.1~1.2.cs,24,globe.GlobeBody.GeneralSection.CorporateStructure,globe.GlobeBody.GeneralSection.CorporateStructure ??=
Mapping_1.1~1.2.cs,42,fi.Period.Start,fi.Period.Start = sd;
Mapping_1.1~1.2.cs,50,fi.Period.End,fi.Period.End = ed;
Mapping_1.1~1.2.cs,58,fi.FilingCe.Name,fi.FilingCe.Name = ceName;
Mapping_1.1~1.2.cs,60,fi.FilingCe.KName,fi.FilingCe.KName = ceKName;
Mapping_1.1~1.2.cs,63,fi.FilingCe.KName,fi.FilingCe.KName = val;
Mapping_1.1~1.2.cs,66,fi.FilingCe.Tin,fi.FilingCe.Tin = string.IsNullOrWhiteSpace(val)
Mapping_1.1~1.2.cs,73,fi.FilingCe.ResCountryCode,"v => fi.FilingCe.ResCountryCode = v,"
Mapping_1.1~1.2.cs,82,fi.FilingCe.Role,"v => fi.FilingCe.Role = v,"
Mapping_1.1~1.2.cs,90,fi.NameMne,fi.NameMne = mneName;
Mapping_1.1~1.2.cs,92,fi.KNameMne,fi.KNameMne = mneKName;
Mapping_1.1~1.2.cs,101,globe.MessageSpec.MessageTypeIndic,"v => globe.MessageSpec.MessageTypeIndic = v,"
Mapping_1.1~1.2.cs,110,fi.AccountingInfo.CfSofUpe,"v => fi.AccountingInfo.CfSofUpe = v,"
Mapping_1.1~1.2.cs,117,fi.AccountingInfo.Fas,fi.AccountingInfo.Fas = val;
