class,prop,required,prop_type,xml_name,line
AdditionalDataPointType,Amount,O,string,Amount,8312
AdditionalDataPointType,Boolean,O,bool,Boolean,8340
AdditionalDataPointType,BooleanSpecified,O,bool,,8346
AdditionalDataPointType,Description,O,string,Description,8309
AdditionalDataPointType,Percentage,O,decimal,Percentage,8321
AdditionalDataPointType,PercentageSpecified,O,bool,,8327
AdditionalDataPointType,Text,O,string,Text,8337
CorporateStructureType,Ce,O,System.Collections.ObjectModel.Collection<CorporateStructureTypeCe>,CE,7549
CorporateStructureType,CeSpecified,O,bool,,7565
CorporateStructureType,ExcludedEntity,O,System.Collections.ObjectModel.Collection<CorporateStructureTypeExcludedEntity>,ExcludedEntity,7577
CorporateStructureType,ExcludedEntitySpecified,O,bool,,7593
CorporateStructureType,UnreportChangeCorpStr,O,bool,UnreportChangeCorpStr,7602
CorporateStructureType,UnreportChangeCorpStrSpecified,O,bool,,7608
CorporateStructureType,Upe,R,System.Collections.ObjectModel.Collection<CorporateStructureTypeUpe>,UPE,7523
CorporateStructureTypeCe,Id,R,IdType,ID,7944
CorporateStructureTypeCe,Ownership,R,System.Collections.ObjectModel.Collection<CorporateStructureTypeCeOwnership>,Ownership,7988
CorporateStructureTypeCe,OwnershipChange,O,System.Collections.ObjectModel.Collection<CorporateStructureTypeCeOwnershipChange>,OwnershipChange,7950
CorporateStructureTypeCe,OwnershipChangeSpecified,O,bool,,7966
CorporateStructureTypeCe,Qiir,O,CorporateStructureTypeCeQiir,QIIR,8001
CorporateStructureTypeCe,Qutpr,O,CorporateStructureTypeCeQutpr,QUTPR,8004
CorporateStructureTypeCeOwnership,OwnershipPercentage,R,decimal,OwnershipPercentage,8141
CorporateStructureTypeCeOwnership,OwnershipType,R,OwnershipTypeEnumType,OwnershipType,8125
CorporateStructureTypeCeOwnership,Tin,R,TinType,TIN,8129
CorporateStructureTypeCeOwnershipChange,ChangeDate,R,System.DateTime,ChangeDate,8017
CorporateStructureTypeCeOwnershipChange,PreGlobeStatus,R,System.Collections.ObjectModel.Collection<IdGlobeStatusEnumType>,PreGlobeStatus,8028
CorporateStructureTypeCeOwnershipChange,PreOwnership,O,System.Collections.ObjectModel.Collection<CorporateStructureTypeCeOwnershipChangePreOwnership>,PreOwnership,8053
CorporateStructureTypeCeOwnershipChange,PreOwnershipSpecified,O,bool,,8069
CorporateStructureTypeCeOwnershipChangePreOwnership,OwnershipType,R,OwnershipTypeEnumType,OwnershipType,8092
CorporateStructureTypeCeOwnershipChangePreOwnership,PreOwnershipPercentage,R,decimal,PreOwnershipPercentage,8108
CorporateStructureTypeCeOwnershipChangePreOwnership,Tin,R,TinType,TIN,8096
CorporateStructureTypeCeQiir,Exception,O,CorporateStructureTypeCeQiirException,Exception,8161
CorporateStructureTypeCeQiir,PopeIpe,R,PopeipeEnumType,POPE-IPE,8158
CorporateStructureTypeCeQiirException,ExceptionRule,R,CorporateStructureTypeCeQiirExceptionExceptionRule,ExceptionRule,8174
CorporateStructureTypeCeQiirException,Tin,R,TinType,TIN,8178
CorporateStructureTypeCeQiirExceptionExceptionRule,Art213,O,bool,Art2.1.3,8190
CorporateStructureTypeCeQiirExceptionExceptionRule,Art213Specified,O,bool,,8196
CorporateStructureTypeCeQiirExceptionExceptionRule,Art215,O,bool,Art2.1.5,8199
CorporateStructureTypeCeQiirExceptionExceptionRule,Art215Specified,O,bool,,8205
CorporateStructureTypeCeQutpr,AggOwnership,O,decimal,AggOwnership,8229
CorporateStructureTypeCeQutpr,AggOwnershipSpecified,O,bool,,8235
CorporateStructureTypeCeQutpr,Art93,R,bool,Art9.3,8218
CorporateStructureTypeCeQutpr,UpeOwnership,O,bool,UPEOwnership,8242
CorporateStructureTypeCeQutpr,UpeOwnershipSpecified,O,bool,,8248
CorporateStructureTypeExcludedEntity,Change,R,bool,Change,8290
CorporateStructureTypeExcludedEntity,KName,O,string,KName,8278
CorporateStructureTypeExcludedEntity,Name,R,string,Name,8268
CorporateStructureTypeExcludedEntity,Type,R,ExcludedEntityEnumType,Type,8286
CorporateStructureTypeUpe,ExcludedUpe,O,CorporateStructureTypeUpeExcludedUpe,ExcludedUPE,7620
