file,line,row_expr,col,snippet
Mapping_1.3.1.cs,45,row,10,"var cellValue = ws.Cell(row, 10).GetString()?.Trim();  // J열 = 10"
Mapping_1.3.1.cs,127,r,2,"var val = ws.Cell(r, 2).GetString()?.Trim(); // B열"
Mapping_1.3.2.1.cs,66,row,15,"var cellValue = ws.Cell(row, 15).GetString()?.Trim(); // O열 = 15"
Mapping_1.3.2.1.cs,86,ownershipRow,15,"var ownershipCell = ws.Cell(ownershipRow, 15).GetString()?.Trim();"
Mapping_1.3.2.1.cs,301,r,2,"var val = ws.Cell(r, 2).GetString()?.Trim();"
Mapping_1.3.2.2.cs,46,row,15,"var val = ws.Cell(row, 15).GetString()?.Trim();"
Mapping_1.3.3.cs,31,row,2,"var name = ws.Cell(row, 2).GetString()?.Trim();"
Mapping_1.3.3.cs,33,row,4,"var tinRaw = ws.Cell(row, 4).GetString()?.Trim();"
Mapping_1.3.3.cs,35,row,6,"var dateRaw = ws.Cell(row, 6).GetString()?.Trim();"
Mapping_1.3.3.cs,37,row,8,"var preTypeRaw = ws.Cell(row, 8).GetString()?.Trim();"
Mapping_1.3.3.cs,39,row,10,"var ownerTinRaw = ws.Cell(row, 10).GetString()?.Trim();"
Mapping_1.3.3.cs,41,row,13,"var prePctRaw = ws.Cell(row, 13).GetString()?.Trim();"
Mapping_1.3.3.cs,43,row,16,"var ownerTypeRaw = ws.Cell(row, 16).GetString()?.Trim();"
Mapping_1.4.cs,27,row,2,"var jurCode = ws.Cell(row, 2).GetString()?.Trim();"
Mapping_1.4.cs,38,row,7,"var taxJurRaw = ws.Cell(row, 7).GetString()?.Trim();"
Mapping_1.4.cs,55,row,9,"var safeHarbour = ws.Cell(row, 9).GetString()?.Trim();"
Mapping_1.4.cs,64,row,11,"var etrRange = ws.Cell(row, 11).GetString()?.Trim();"
Mapping_1.4.cs,75,row,15,"var qdmtt = ws.Cell(row, 15).GetString()?.Trim();"
Mapping_1.4.cs,86,row,17,"var globeTut = ws.Cell(row, 17).GetString()?.Trim();"
Mapping_2.cs,52,b1 + 3,15,"var jurCode = ws.Cell(b1 + 3, 15).GetString()?.Trim();"
Mapping_2.cs,81,b1 + 6,15,"var taxJurRaw = ws.Cell(b1 + 6, 15).GetString()?.Trim();"
Mapping_2.cs,84,b1 + 12,15,"var safeHarbourRaw = ws.Cell(b1 + 12, 15).GetString()?.Trim();"
Mapping_2.cs,96,b1 + 16,8,"var s1Rev = ws.Cell(b1 + 16, 8).GetString()?.Trim();   // H18"
Mapping_2.cs,97,b1 + 16,14,"var s1Tax = ws.Cell(b1 + 16, 14).GetString()?.Trim();  // N18"
Mapping_2.cs,98,b1 + 17,8,"var s2Rev = ws.Cell(b1 + 17, 8).GetString()?.Trim();   // H19"
Mapping_2.cs,99,b1 + 17,14,"var s2Tax = ws.Cell(b1 + 17, 14).GetString()?.Trim();  // N19"
Mapping_2.cs,100,b1 + 18,8,"var s3Rev = ws.Cell(b1 + 18, 8).GetString()?.Trim();   // H20"
Mapping_2.cs,101,b1 + 18,14,"var s3Tax = ws.Cell(b1 + 18, 14).GetString()?.Trim();  // N20"
Mapping_2.cs,102,b1 + 19,8,"var saRev = ws.Cell(b1 + 19, 8).GetString()?.Trim();   // H21"
Mapping_2.cs,103,b1 + 19,14,"var saTax = ws.Cell(b1 + 19, 14).GetString()?.Trim();  // N21"
Mapping_2.cs,108,b2 + 1,15,"var cbcrRev  = ws.Cell(b2 + 1, 15).GetString()?.Trim();  // O26"
Mapping_2.cs,109,b2 + 2,15,"var cbcrPl   = ws.Cell(b2 + 2, 15).GetString()?.Trim();  // O27"
Mapping_2.cs,110,b2 + 3,15,"var cbcrTax  = ws.Cell(b2 + 3, 15).GetString()?.Trim();  // O28"
Mapping_2.cs,111,b2 + 6,15,"var utprRate = ws.Cell(b2 + 6, 15).GetString()?.Trim();  // O31"
Mapping_2.cs,125,b2 + 12,5,"var f1AcRev = ws.Cell(b2 + 12, 5).GetString()?.Trim();   // E37"
Mapping_2.cs,126,b2 + 12,9,"var f1GbRev = ws.Cell(b2 + 12, 9).GetString()?.Trim();   // I37"
Mapping_2.cs,127,b2 + 12,12,"var f1AcPl  = ws.Cell(b2 + 12, 12).GetString()?.Trim();  // L37"
Mapping_2.cs,128,b2 + 12,15,"var f1GbPl  = ws.Cell(b2 + 12, 15).GetString()?.Trim();  // O37"
Mapping_2.cs,129,b2 + 13,5,"var f2AcRev = ws.Cell(b2 + 13, 5).GetString()?.Trim();   // E38"
Mapping_2.cs,130,b2 + 13,9,"var f2GbRev = ws.Cell(b2 + 13, 9).GetString()?.Trim();   // I38"
Mapping_2.cs,131,b2 + 13,12,"var f2AcPl  = ws.Cell(b2 + 13, 12).GetString()?.Trim();  // L38"
Mapping_2.cs,132,b2 + 13,15,"var f2GbPl  = ws.Cell(b2 + 13, 15).GetString()?.Trim();  // O38"
Mapping_2.cs,133,b2 + 14,5,"var f3AcRev = ws.Cell(b2 + 14, 5).GetString()?.Trim();   // E39"
Mapping_2.cs,134,b2 + 14,9,"var f3GbRev = ws.Cell(b2 + 14, 9).GetString()?.Trim();   // I39"
Mapping_2.cs,135,b2 + 14,12,"var f3AcPl  = ws.Cell(b2 + 14, 12).GetString()?.Trim();  // L39"
Mapping_2.cs,136,b2 + 14,15,"var f3GbPl  = ws.Cell(b2 + 14, 15).GetString()?.Trim();  // O39"
Mapping_2.cs,137,b2 + 15,5,"var faAcRev = ws.Cell(b2 + 15, 5).GetString()?.Trim();   // E40"
Mapping_2.cs,138,b2 + 15,9,"var faGbRev = ws.Cell(b2 + 15, 9).GetString()?.Trim();   // I40"
Mapping_2.cs,139,b2 + 15,12,"var faAcPl  = ws.Cell(b2 + 15, 12).GetString()?.Trim();  // L40"
Mapping_2.cs,140,b2 + 15,15,"var faGbPl  = ws.Cell(b2 + 15, 15).GetString()?.Trim();  // O40"
Mapping_2.cs,145,b2 + 17,13,"var initStartRaw     = ws.Cell(b2 + 17, 13).GetString()?.Trim(); // M42"
Mapping_2.cs,146,b2 + 18,13,"var initRefJur       = ws.Cell(b2 + 18, 13).GetString()?.Trim(); // M43"
Mapping_2.cs,147,b2 + 19,13,"var initRefAsset     = ws.Cell(b2 + 19, 13).GetString()?.Trim(); // M44"
Mapping_2.cs,148,b2 + 20,13,"var initNumJur       = ws.Cell(b2 + 20, 13).GetString()?.Trim(); // M45"
Mapping_2.cs,149,b2 + 21,13,"var initOtherJurRaw  = ws.Cell(b2 + 21, 13).GetString()?.Trim(); // M46 (통합 셀)"
Mapping_EntityCe.cs,56,r,2,"var v = ws.Cell(r, 2).GetString() ?? """";"
Mapping_EntityCe.cs,79,rTin,13,"var ceTinRaw = ws.Cell(rTin, 13).GetString()?.Trim(); // M열"
Mapping_EntityCe.cs,205,r,15,"var v = ws.Cell(r, 15).GetString()?.Trim(); // O열"
Mapping_EntityCe.cs,232,r,2,"var bVal = ws.Cell(r, 2).GetString()?.Trim();   // B: GroupTIN"
