file,line,header,method
Mapping_EntityCe.cs,72,1. 구성기업 또는 공동기업그룹 기업의 납세자번호,MapOneEntity
Mapping_EntityCe.cs,203,1. 귀 다국적기업그룹은,Map324a
Mapping_EntityCe.cs,223,1. 연결납세그룹(납세자번호),Map324b
Mapping_EntityCe.cs,280,3.2.4.2 조정대상조세,Map3242a
Mapping_EntityCe.cs,284,배분 후 당기법인세비용,Map3242a
Mapping_EntityCe.cs,298,3. 조정사항,Map3242a
Mapping_EntityCe.cs,320,4. 조정대상조세,Map3242a
Mapping_EntityCe.cs,343,대상조세 국가간 배분,Map3242b
Mapping_EntityCe.cs,422,(c) 이연법인세,Map3242c
Mapping_EntityCe.cs,426,이연법인세비용 금액,Map3242c
Mapping_EntityCe.cs,432,이연법인세비용의 조정,Map3242c
Mapping_EntityCe.cs,455,최저한세율보다 낮은 세율,Map3242c
Mapping_EntityCe.cs,475,최저한세율보다 높은 세율,Map3242c
Mapping_EntityCe.cs,495,총이연법인세조정금액,Map3242c
Mapping_EntityCe.cs,545,배분 후 회계상 순손익,Map3241a
Mapping_EntityCe.cs,559,3. 조정사항,Map3241a
Mapping_EntityCe.cs,581,4. 구성기업 또는 공동기업그룹 기업의 글로벌최저한세소득,Map3241a
Mapping_EntityCe.cs,605,본점과 고정사업장,Map3241b
Mapping_EntityCe.cs,613,배분 후 회계상 순손익,Map3241b
Mapping_EntityCe.cs,675,국가간 손익 조정,Map3241c
Mapping_EntityCe.cs,728,최종모기업의 글로벌최저한세소득 감액,Map3241d
Mapping_EntityCe.cs,872,3.2.4.3,Map3243
Mapping_EntityCe.cs,879,2. 매년 선택,Map3243
Mapping_EntityCe.cs,906,5년 선택,Map3243
Mapping_EntityCe.cs,976,6. 기타선택,Map3243
Mapping_EntityCe.cs,997,k. 공정가액조정,Map3243
Mapping_EntityCe.cs,1059,3.2.4.4,Map3244
Mapping_EntityCe.cs,1153,3.2.4.5,Map3245
Mapping_EntityCe.cs,1160,3.2.4.3,Map3245
Mapping_EntityCe.cs,1163,5년 선택,Map3245
Mapping_EntityCe.cs,1230,3.2.4.6,Map3246
Mapping_EntityCe.cs,1273,3.4.1,Map341
Mapping_EntityCe.cs,1277,1. 추가세액 배분,Map341
Mapping_EntityCe.cs,1294,2. 적격소득산입규칙,Map341
Mapping_EntityCe.cs,1295,적격소득산입규칙,Map341
Mapping_EntityCe.cs,1403,3.4.2,Map342
Mapping_EntityCe.cs,1407,3항제2호,Map342
Mapping_EntityCe.cs,1408,납부액을 차감,Map342
Mapping_EntityCe.cs,1410,소득산입보완규칙 추가세액 합계,Map342
Mapping_JurCal.cs,178,3.1 국가별,MapJurisdiction
Mapping_JurCal.cs,267,3.2.1 실효세율,Map321OverallComputation
Mapping_JurCal.cs,281,3.2.1.2,Map321OverallComputation
Mapping_JurCal.cs,286,(b) 이월조정대상조세,Map321OverallComputation
Mapping_JurCal.cs,377,(c) 통합형피지배외국법인,Map321OverallComputation
Mapping_JurCal.cs,466,3.2.2.3,Map322Transition
Mapping_JurCal.cs,489,(b),Map322Transition
Mapping_JurCal.cs,610,(c) 결손금 소급공제,Map322LossCarryback
Mapping_JurCal.cs,719,(a) 이연법인세부채 환입,Map322Recapture
Mapping_JurCal.cs,728,(b) 총 이연법인세부채 환입,Map322Recapture
Mapping_JurCal.cs,855,(a) 요약표,Map322DeferTaxAdjust
Mapping_JurCal.cs,870,(b) 조정내역,Map322DeferTaxAdjust
Mapping_JurCal.cs,966,3.2.3.1,Map323Election
Mapping_JurCal.cs,967,3.2.3,Map323Election
Mapping_JurCal.cs,984,총자산처분이익,Map323Election
Mapping_JurCal.cs,985,경미한 감액,Map323Election
Mapping_JurCal.cs,986,실질기반제외소득 미적용,Map323Election
Mapping_JurCal.cs,987,이월조정대상조세 처리,Map323Election
Mapping_JurCal.cs,992,지분투자손익포함,Map323Election
Mapping_JurCal.cs,993,주식기준보상비용,Map323Election
Mapping_JurCal.cs,994,실현주의 적용,Map323Election
Mapping_JurCal.cs,995,구성기업 간 연결회계조정,Map323Election
Mapping_JurCal.cs,996,이연법인세비용 미배분,Map323Election
Mapping_JurCal.cs,999,결손취급특례,Map323Election
Mapping_JurCal.cs,1081,(b) 국가별 선택과 관련된 필요정보,Map323Election
Mapping_JurCal.cs,1202,3.2.3.2,Map323DeemedDistTax
Mapping_JurCal.cs,1207,간주분배세액 선택,Map323DeemedDistTax
Mapping_JurCal.cs,1217,(a),Map323DeemedDistTax
Mapping_JurCal.cs,1278,(b) 간주분배세액 선택 구성기업,Map323DeemedDistTax
Mapping_JurCal.cs,1386,3.3.1 추가세액,Map331Summary
Mapping_JurCal.cs,1424,3.3.2.1 실질기반제외소득 합계,Map332SubstanceExclusion
Mapping_JurCal.cs,1475,3.3.2.2,Map332SubstanceExclusion
Mapping_JurCal.cs,1530,3.3.2.3,Map332SubstanceExclusion
Mapping_JurCal.cs,1597,3.3.3.1,Map333AdditionalTopUpTax
Mapping_JurCal.cs,1696,3.3.3.2,Map333AdditionalTopUpTax
Mapping_JurCal.cs,1699,1. 소재지국 조정대상조세,Map333AdditionalTopUpTax
Mapping_JurCal.cs,1700,2. 소재지국 순글로벌최저한세결손,Map333AdditionalTopUpTax
Mapping_JurCal.cs,1701,3. 조정대상조세 예상액,Map333AdditionalTopUpTax
Mapping_JurCal.cs,1702,4. 당기추가세액가산액,Map333AdditionalTopUpTax
Mapping_JurCal.cs,1740,3.3.4 적격소재국추가세액,Map334Qdmtt
Mapping_JurCal.cs,1744,1. 회계기준,Map334Qdmtt
Mapping_JurCal.cs,1745,2. 적격소재국추가세액,Map334Qdmtt
Mapping_JurCal.cs,1746,3. 적격소재국추가세제도 최저한세율,Map334Qdmtt
Mapping_JurCal.cs,1747,4. 실효세율 계산을 위한,Map334Qdmtt
Mapping_JurCal.cs,1748,5. 사용 통화,Map334Qdmtt
Mapping_JurCal.cs,1749,6. 연결재무제표,Map334Qdmtt
Mapping_JurCal.cs,1750,7. 실질기반제외소득 적용가능,Map334Qdmtt
Mapping_JurCal.cs,1751,8. 최소적용제외 특례,Map334Qdmtt
Mapping_JurCal.cs,1846,(b) 적격국제해운부수소득,MapShippingIncome
Mapping_JurCal.cs,1850,1. 모든 구성기업,MapShippingIncome
Mapping_JurCal.cs,1851,2. 50% 한도,MapShippingIncome
Mapping_JurCal.cs,1852,3. 모든 구성기업,MapShippingIncome
Mapping_JurCal.cs,1853,4. B가 A의 50%,MapShippingIncome
