file,sheet,section,cell,target,type,label,multi
mapping_1.1~1.2.json,다국적기업그룹 정보,header,C2,FilingInfo.Period.Start,date,사업연도 시작,
mapping_1.1~1.2.json,다국적기업그룹 정보,header,C5,FilingInfo.Period.End,date,사업연도 종료,
mapping_1.1~1.2.json,다국적기업그룹 정보,header,P2,FilingInfo.FilingCe.KName,string,법인명(상호),
mapping_1.1~1.2.json,다국적기업그룹 정보,header,P4,FilingInfo.FilingCe.Tin.Value,string,사업자등록번호,
mapping_1.1~1.2.json,다국적기업그룹 정보,1.1,D9,FilingInfo.FilingCe.Name,string,2. 신고구성기업 상호,
mapping_1.1~1.2.json,다국적기업그룹 정보,1.1,H9,FilingInfo.FilingCe.Tin.Value,string,3. 납세자번호,
mapping_1.1~1.2.json,다국적기업그룹 정보,1.1,K9,FilingInfo.FilingCe.Role,enum:FilingCeRoleEnumType,4. 신고구성기업 지위,
mapping_1.1~1.2.json,다국적기업그룹 정보,1.1,M9,FilingInfo.FilingCe.ResCountryCode,enum:CountryCodeType,5. 신고구성기업 소재지국,
mapping_1.1~1.2.json,다국적기업그룹 정보,1.1,O9,GeneralSection.RecJurCode,enum:CountryCodeType,6. 연례 자동정보 교환당사국,true
mapping_1.1~1.2.json,다국적기업그룹 정보,1.2.1,B14,FilingInfo.NameMne,string,1. 다국적기업그룹 명칭,
mapping_1.1~1.2.json,다국적기업그룹 정보,1.2.1,F14,FilingInfo.Period.Start,date,2. 신고대상 사업연도 개시일,
mapping_1.1~1.2.json,다국적기업그룹 정보,1.2.1,K14,FilingInfo.Period.End,date,3. 신고대상 사업연도 종료일,
mapping_1.1~1.2.json,다국적기업그룹 정보,1.2.1,O14,MessageSpec.MessageTypeIndic,enum:MessageTypeIndicEnumType,4. 수정신고서 여부,
mapping_1.1~1.2.json,다국적기업그룹 정보,1.2.2,B17,FilingInfo.AccountingInfo.CfSofUpe,enum:FilingCeCofUpeEnumType,1. 최종모기업 연결재무제표(유형),
mapping_1.1~1.2.json,다국적기업그룹 정보,1.2.2,H17,FilingInfo.AccountingInfo.Fas,string,2. 최종모기업 연결재무제표 회계기준,
mapping_1.1~1.2.json,다국적기업그룹 정보,1.2.2,M17,FilingInfo.AccountingInfo.Currency,enum:CurrCodeType,3. 최종모기업 연결재무제표 통화(ISO 코드),
mapping_1.3.1.json,최종모기업,1.3.1,J4,Upe.OtherUpe.Id.ResCountryCode,enum:CountryCodeType,1. 최종모기업 소재지국,
mapping_1.3.1.json,최종모기업,1.3.1,J5,Upe.OtherUpe.Id.Rules,enum:IdTypeRulesEnumType,2. 적용가능규칙,true
mapping_1.3.1.json,최종모기업,1.3.1,J6,Upe.OtherUpe.Id.Name,string,3. 최종모기업 상호,
mapping_1.3.1.json,최종모기업,1.3.1,J7,Upe.OtherUpe.Id.Tin.Value,string,4. 최종모기업 납세자번호,
mapping_1.3.1.json,최종모기업,1.3.1,J8,Upe.OtherUpe.Id.ReceivingTin,string,5. 신고접수국가 납세자번호,
mapping_1.3.1.json,최종모기업,1.3.1,J9,Upe.OtherUpe.Id.GlobeStatus,enum:IdTypeGloBeStatusEnumType,6. 글로벌최저한세 목적상 기업유형,true
mapping_1.3.1.json,최종모기업,1.3.1,J10,Upe.ExcludedUpe.ExcludedUpeStatus,enum:ExcludedUpeEnumType,7. 제외기업 유형,
mapping_1.3.1.json,최종모기업,1.3.1,J11,Upe.ExcludedUpe.Art1035,enum:CountryCodeType,8. 시행령 제103조제4항 적용 국가 해당 여부,
