sheet,address,row,col,mergeRange,mergeAnchor,kind,text
기업매핑,B2,2,2,,,label,기업 납세자번호
기업매핑,C2,2,3,,,label,국가명
기업매핑,D2,2,4,,,label,하위그룹 유형
기업매핑,E2,2,5,,,label,하위그룹 최상위기업 납세자번호
Main 작성요령,B2,2,2,,,label,시트명
Main 작성요령,C2,2,3,,,label,항목번호
Main 작성요령,D2,2,4,,,label,항목명
Main 작성요령,E2,2,5,,,label,항목내용
Main 작성요령,F2,2,6,,,label,복수선택
Main 작성요령,B3,3,2,,,label,다국적기업그룹 정보
Main 작성요령,C3,3,3,,,value,1.1.2
Main 작성요령,D3,3,4,,,label,신고구성기업 상호
Main 작성요령,E3,3,5,,,label,"영문명을 기재합니다.  국문명도 기재하고자 하는 경우 영문명, 국문명을 세미콜론(;)을 기준으로 구분하여 기재합니다."
Main 작성요령,B4,4,2,,,label,다국적기업그룹 정보
Main 작성요령,C4,4,3,,,value,1.1.3
Main 작성요령,D4,4,4,,,label,납세자번호
Main 작성요령,E4,4,5,,,label,"납세자번호, 납세자번호 유형, 발급국가를 컴마로 구분하여 기재    납세자번호 유형  GIR3001: Tax Identification Number  GIR3002: Functionally equivalent number  GIR3003: Agreed GIR designated number  GIR3004: Not required to be reported    발급국가 ISO3166-alpha2"
Main 작성요령,B5,5,2,,,label,다국적기업그룹 정보
Main 작성요령,C5,5,3,,,value,1.1.4
Main 작성요령,D5,5,4,,,label,신고구성기업 지위
Main 작성요령,E5,5,5,,,candidate,GIR401: UPE GIR402: Designated Filing Entity GIR403: Designated Local Entity GIR404: Constituent Entity GIR405: Other
Main 작성요령,B6,6,2,,,label,다국적기업그룹 정보
Main 작성요령,C6,6,3,,,value,1.1.5
Main 작성요령,D6,6,4,,,label,신고구성기업 소재지국
Main 작성요령,E6,6,5,,,label,ISO3166-alpha2 예시) KR
Main 작성요령,B7,7,2,,,label,다국적기업그룹 정보
Main 작성요령,C7,7,3,,,value,1.1.6
Main 작성요령,D7,7,4,,,label,연례 자동정보 교환당사국
Main 작성요령,E7,7,5,,,label,ISO3166-alpha2 예시) KR
Main 작성요령,B8,8,2,,,label,다국적기업그룹 정보
Main 작성요령,C8,8,3,,,value,1.2.2.1
Main 작성요령,D8,8,4,,,label,최종모기업 연결재무제표(유형)
Main 작성요령,E8,8,5,,,label,MR 54~55p Consolidated FS 정의  GIR501: (a)  GIR502: (b)  GIR503: (c)  GIR504: (d)
Main 작성요령,B9,9,2,,,label,다국적기업그룹 정보
Main 작성요령,C9,9,3,,,value,1.2.2.3
Main 작성요령,D9,9,4,,,label,최종모기업 연결재무제표 통화
Main 작성요령,E9,9,5,,,label,ISO4217-alpha3 예시) KRW
Main 작성요령,B10,10,2,,,label,최종모기업
Main 작성요령,C10,10,3,,,value,1.3.1.2
Main 작성요령,D10,10,4,,,label,적용가능규칙
Main 작성요령,E10,10,5,,,label,GIR201: QIIR ─ 다른 소재지국 저율과세구성기업에만 적용 GIR202: QIIR ─ 다른 소재지국 + 모기업 소재지국 저율과세구성기업 모두 적용 GIR203: QUTPR GIR204: QDMTT GIR205: Not Applicable
Main 작성요령,F10,10,6,,,label,가능(컴마로 구분)
Main 작성요령,B11,11,2,,,label,최종모기업
Main 작성요령,C11,11,3,,,value,1.3.1.4
Main 작성요령,D11,11,4,,,label,최종모기업 납세자번호
